iter	Passed	Remaining
0	1	161
1	3	162
2	5	176
3	7	173
4	9	172
5	11	180
6	13	174
7	14	166
8	15	161
9	17	159
10	19	161
11	21	159
12	23	157
13	25	155
14	26	150
15	27	146
16	29	143
17	31	141
18	33	141
19	34	139
20	37	140
21	39	139
22	40	136
23	42	133
24	43	130
25	45	128
26	47	128
27	49	128
28	52	128
29	54	126
30	56	125
31	57	123
32	59	120
33	60	117
34	62	116
35	64	114
36	66	112
37	67	110
38	69	109
39	70	106
40	71	103
41	72	100
42	73	97
43	75	96
44	77	94
45	78	92
46	81	91
47	83	89
48	84	87
49	85	85
50	86	83
51	88	81
52	89	79
53	91	77
54	91	75
55	93	73
56	94	71
57	95	69
58	96	67
59	97	65
60	99	63
61	100	61
62	101	59
63	103	57
64	104	56
65	106	54
66	108	53
67	110	51
68	112	50
69	114	49
70	116	47
71	117	45
72	119	44
73	121	42
74	122	40
75	124	39
76	126	37
77	127	36
78	128	34
79	129	32
80	131	30
81	132	29
82	135	27
83	137	26
84	139	24
85	141	22
86	142	21
87	144	19
88	145	17
89	147	16
90	151	15
91	154	13
92	157	11
93	159	10
94	161	8
95	167	6
96	170	5
97	173	3
98	176	1
99	180	0
